eval_step,eval/reward_total,eval/incorrect_length,eval/correct_length
4,0.2080078125,513.154130702836,282.0093896713620
9,0.2021484375,391.3268053855570,225.44927536231900
14,0.1865234375,314.78991596638700,210.17801047120400
19,0.1943359375,275.78424242424200,185.7889447236180
24,0.1796875,298.42857142857100,135.04891304347800
29,0.146484375,321.3741418764300,198.44
34,0.1455078125,270.95314285714300,191.9798657718120
39,0.166015625,275.59250585480100,216.1235294117650
44,0.2255859375,379.90037831021400,317.84415584415600
49,0.2998046875,912.439330543933,368.05537459283400
54,0.26171875,2075.707671957670,401.05970149253700
59,0.2607421875,2487.9775429326300,452.5093632958800
64,0.3134765625,2264.7681365576100,432.3239875389410
69,0.298828125,2784.151810584960,456.3921568627450