train_step,train/clip_fraction,train/train_norm,train/train_entropy
0,0,0.037841796875,0.8285980224609380
256,0.2388031951405370,0.0186767578125,0.7465744018554690
512,0.005065020731247640,0.44140625,0.4451713562011720
768,0.25414475157465300,0.1962890625,0.4129486083984380
1024,0.004048896224468740,1.1015625,0.41858673095703100
1280,0.2673710079791690,0.302734375,0.3552513122558590
1536,0,1.3046875,0.2759666442871090
1792,0.2825765038312520,0.4453125,0.2527656555175780
2048,0,1.203125,0.22026634216308600
2304,0.2194661577709030,0.4609375,0.22482872009277300
2560,0.004116511469452650,1.4140625,0.20705413818359400
2816,0.23737756278912400,0.5390625,0.20717620849609400
3072,0.004873294346978560,1.9296875,0.2285900115966800
3328,0.2123713954187550,0.77734375,0.2263469696044920
3584,0.004249984712285210,1.2421875,0.18900299072265600
3840,0.1830297799073460,0.53515625,0.18778610229492200
4096,0.0008782571334698110,1.9609375,0.2136383056640630
4352,0.1915277808514180,0.56640625,0.211212158203125
4608,0.0010526582792207800,1.4609375,0.16108131408691400
4864,0.1766833911248770,0.49609375,0.1604480743408200
5120,0,1.140625,0.1839771270751950
5376,0.14939506610393300,0.5625,0.1831512451171880
5632,0.0021743857360295700,1.65625,0.1568918228149410
5888,0.196716305012946,0.65234375,0.15833377838134800
6144,0,1.9765625,0.1355724334716800
6400,0.16463172951300900,0.6953125,0.13633346557617200
6656,0,1.5,0.15883445739746100
6912,0.1751637934495560,0.5625,0.1584625244140630
7168,0.001514178214187390,1.9140625,0.19853782653808600
7424,0.18825964900284200,0.66015625,0.19561195373535200
7680,0,2.078125,0.1623363494873050
7936,0.2036870649351310,0.765625,0.1630840301513670
8192,0,1.859375,0.13859176635742200
8448,0.20508486622804700,0.7109375,0.13798999786377000
8704,0.003486638986479290,1.859375,0.13896751403808600
8960,0.21730148954814500,0.6953125,0.1385955810546880
9216,0.0052577014218009500,2.890625,0.1547412872314450
9472,0.20815028843130100,1.0546875,0.15273284912109400
9728,0,1.96875,0.1600971221923830
9984,0.2098169596220970,0.765625,0.1619586944580080
10240,0.002377864245568530,2.265625,0.13037109375
10496,0.24407572275526900,0.6875,0.13481712341308600
10752,0.004152454397152600,2.6875,0.1571807861328130
11008,0.23527980224258000,0.7734375,0.16124343872070300
11264,0.0039127032431962400,4.125,0.14368057250976600
11520,0.28473159590958700,0.68359375,0.14930248260498000
11776,0,5.3125,0.16633033752441400
12032,0.3607866451554830,0.75,0.16604042053222700
12288,0.004782867734674960,5.46875,0.16957855224609400
12544,0.4186015756224350,1.2265625,0.1699390411376950
12800,0.003922872340425530,5.71875,0.1708984375
13056,0.3778455336970870,1.0546875,0.1713409423828130
13312,0.006084157638561780,2.84375,0.1553211212158200
13568,0.29175036514675400,0.66015625,0.15658187866210900
13824,0,4.3125,0.15866374969482400
14080,0.34667608894337900,0.6875,0.1578993797302250
14336,0,5.125,0.16997051239013700
14592,0.3350553657990520,0.6875,0.1701498031616210
14848,0.006053268765133170,2.984375,0.18160438537597700
15104,0.4107580337898360,0.59765625,0.18206214904785200
15360,0,5.4375,0.17997455596923800
15616,0.36134241752797200,1.6796875,0.1796131134033200
15872,0,5.09375,0.1663970947265630
16128,0.3584641817951600,0.796875,0.1634674072265630
16384,0.003017526455026460,5.25,0.16265296936035200
16640,0.38638509388764900,0.4140625,0.15999984741210900
16896,0.0074736842105263200,8.25,0.15678930282592800
17152,0.42915434894304300,0.5703125,0.1581287384033200
17408,0,7.84375,0.16089820861816400
17664,0.4989224202452760,0.46875,0.1553950309753420
17920,0.00787862656374767,11.875,0.14704537391662600
18176,0.4675031721840980,2.0625,0.14657998085022000
18432,0.010486772486772500,9.3125,0.12823200225830100
18688,0.5287829997902890,0.7734375,0.13028812408447300
18944,0.013883605933815100,7.53125,0.14718246459960900
19200,0.46318764953932700,2.703125,0.1463603973388670
19456,0,9.625,0.12845253944397000
19712,0.49926061222401400,1.953125,0.12488412857055700
19968,0.00847520908004779,7.125,0.13268041610717800
20224,0.5850193598926960,0.953125,0.12304401397705100
20480,0,8.5,0.11309146881103500
20736,0.5441091674802550,1.7421875,0.11430549621582000
20992,0,17.125,0.09984016418457030
21248,0.6178978392392840,1.1953125,0.08581924438476560
21504,0.011609786504597200,12.9375,0.08816957473754880
21760,0.5140613451335040,2.59375,0.08882474899291990
22016,0,19.625,0.0771327018737793
22272,0.6045421583005630,2.09375,0.0803074836730957
22528,0,14.5,0.07689298689365390
22784,0.5696919856569130,1.78125,0.08101922273635860
23040,0,15.875,0.08184683322906490
23296,0.5656611865576430,6.28125,0.08361542224884030
23552,0,14.4375,0.07334184646606450
23808,0.6037309533566010,4.59375,0.07134461402893070
24064,0,16.625,0.07166576385498050
24320,0.5550814498144270,9.125,0.07108664512634280
24576,0,18.375,0.07709026336669920
24832,0.571042466406788,5.53125,0.07668662071228030
25088,0.009814210199004980,34,0.06625646352767940
25344,0.5577108373116240,4.15625,0.06718391180038450
25600,0.010868365883261600,17.125,0.07195234298706060
25856,0.5458933154464870,5.75,0.07125473022460940
26112,0,22.75,0.077292799949646
26368,0.5170349222041860,0.451171875,0.08445501327514650
26624,0.007481354163469510,17.625,0.08587312698364260
26880,0.43342839696775300,3.90625,0.09225940704345700
27136,0,20.25,0.10066032409668000
27392,0.48073592508962200,0.5625,0.09586906433105470
27648,0.005494505494505490,33,0.08521080017089840
27904,0.5966009749079650,0.91015625,0.06838560104370120
28160,0.007546861377506540,43.25,0.06244011805392800
28416,0.5605374304468340,2.703125,0.0664910338819027
28672,0,30,0.06315236259251830
28928,0.5118570775323460,1.3515625,0.070712567307055
29184,0.009050853680925280,27,0.07549834251403810
29440,0.5652063165387920,2.640625,0.08295488357543950
29696,0,14.125,0.0731903891210095
29952,0.49542383993757200,3.15625,0.07223207463539440
30208,0.007640369580668090,39.5,0.08621615171432500
30464,0.5477380590215890,0.80078125,0.10567298531532300
30720,0,22.625,0.10714071989059400
30976,0.4005361617382520,4.96875,0.10954838991165200
31232,0.003233213354846720,23.625,0.11553784413263200
31488,0.3057516893915850,2.234375,0.11746093444526200
31744,0,31,0.13288855995051600
32000,0.3040997682095190,2.59375,0.13535349641460900
32256,0,22.75,0.09319618344306950
32512,0.4028260281748970,1.28125,0.08717974461615090
32768,0,20.125,0.11463142046704900
33024,0.3552033483923250,3.859375,0.11194359851651800
33280,0.008299595141700410,25.375,0.09669829942868090
33536,0.32459359766017300,3.890625,0.09547048545209690
33792,0.0024295368818105600,19,0.0908173624156916
34048,0.4597281263728200,1.1875,0.07854675001362920
34304,0,38,0.07946562767028810
34560,0.48840318632697400,1.2421875,0.07902684807777410
34816,0,42.25,0.06769084930419920
35072,0.5881216872337910,1.3203125,0.057462215423584000
35328,0,22.125,0.059361934661865200
35584,0.61059698091315,NaN,0.06742653250694280
35840,0,NaN,NaN
36096,0,NaN,NaN
36352,0,NaN,NaN
36608,0,NaN,NaN
36864,0,NaN,NaN
37120,0,NaN,NaN
37376,0,NaN,NaN
37632,0,NaN,NaN
37888,0,NaN,NaN
38144,0,NaN,NaN
38400,0,NaN,NaN
38656,0,NaN,NaN
38912,0,NaN,NaN
39168,0,NaN,NaN
39424,0,NaN,NaN
39680,0,NaN,NaN
39936,0,NaN,NaN
40192,0,NaN,NaN
40448,0,NaN,NaN
40704,0,NaN,NaN
40960,0,,